order_id,shipment_id,delivery_date,shipping_cost
1109,5358,2023-04-01,16
1202,5660,2023-04-02,7
1146,5369,2023-04-03,35
1908,5292,2023-04-04,30
1100,5309,2023-04-05,33
1144,5683,2023-04-06,46
1253,5448,2023-04-07,34
1490,5530,2023-04-08,16
1247,5629,2023-04-09,48
1672,5026,2023-04-10,8
1386,5025,2023-04-11,80
1960,5634,2023-04-12,5
1514,5417,2023-04-13,39
1729,5325,2023-04-14,84
1902,5771,2023-04-15,82
1638,5635,2023-04-16,19
1509,5789,2023-04-17,85
1427,5157,2023-04-18,33
1849,5468,2023-04-19,80
1631,5409,2023-04-20,94
1055,5407,2023-04-21,10
1579,5433,2023-04-22,52
1782,5282,2023-04-23,82
1260,5791,2023-04-24,16
1371,5482,2023-04-25,41
1541,5188,2023-04-26,72
1737,5701,2023-04-27,87
1421,5623,2023-04-28,25
1281,5048,2023-04-29,72
1495,5358,2023-04-30,17
1776,5359,2023-05-01,38
1599,5304,2023-05-02,13
1232,5713,2023-05-03,64
1126,5013,2023-05-04,56
1924,5284,2023-05-05,70
1529,5687,2023-05-06,20
1155,5289,2023-05-07,54
1021,5132,2023-05-08,35
1488,5017,2023-05-09,97
1447,5300,2023-05-10,88
1895,5460,2023-05-11,9
1880,5450,2023-05-12,70
1312,5772,2023-05-13,89
1160,5685,2023-05-14,29
1487,5403,2023-05-15,48
1248,5648,2023-05-16,65
1162,5227,2023-05-17,39
1183,5292,2023-05-18,79
1299,5723,2023-05-19,50
1861,5708,2023-05-20,48
1200,5726,2023-05-21,48
1563,5537,2023-05-22,8
1645,5509,2023-05-23,34
1344,5493,2023-05-24,80
1652,5394,2023-05-25,93
1204,5388,2023-05-26,82
1261,5061,2023-05-27,50
1995,5200,2023-05-28,56
1453,5328,2023-05-29,18
1912,5231,2023-05-30,95
1580,5443,2023-05-31,43
1537,5141,2023-06-01,85
1115,5515,2023-06-02,48
1326,5059,2023-06-03,42
1138,5360,2023-06-04,17
1269,5390,2023-06-05,39
1867,5738,2023-06-06,30
1950,5725,2023-06-07,93
1499,5151,2023-06-08,18
1471,5622,2023-06-09,9
1517,5449,2023-06-10,32
1398,5142,2023-06-11,38
1441,5779,2023-06-12,30
1769,5327,2023-06-13,79
1919,5194,2023-06-14,36
1554,5511,2023-06-15,43
1380,5244,2023-06-16,41
1303,5092,2023-06-17,82
1255,5173,2023-06-18,54
1591,5192,2023-06-19,75
1855,5171,2023-06-20,19
1450,5004,2023-06-21,43
1991,5469,2023-06-22,52
1843,5755,2023-06-23,36
1763,5244,2023-06-24,32
1442,5787,2023-06-25,54
1555,5021,2023-06-26,54
1643,5656,2023-06-27,85
1938,5430,2023-06-28,81
1333,5660,2023-06-29,90
1092,5186,2023-06-30,97
1086,5096,2023-07-01,35
1415,5287,2023-07-02,21
1343,5207,2023-07-03,84
1251,5764,2023-07-04,94
1025,5533,2023-07-05,61
1883,5185,2023-07-06,16
1744,5608,2023-07-07,48
1177,5547,2023-07-08,36
1076,5652,2023-07-09,78
1814,5301,2023-07-10,72
1370,5690,2023-07-11,13
1475,5515,2023-07-12,79
1982,5305,2023-07-13,12
1978,5279,2023-07-14,6
1330,5311,2023-07-15,93
1793,5182,2023-07-16,87
1332,5298,2023-07-17,27
1456,5490,2023-07-18,15
1264,5345,2023-07-19,74
1228,5023,2023-07-20,12
1873,5477,2023-07-21,19
1876,5404,2023-07-22,54
1789,5225,2023-07-23,27
1425,5307,2023-07-24,95
1048,5219,2023-07-25,73
1691,5385,2023-07-26,23
1601,5664,2023-07-27,83
1016,5703,2023-07-28,53
1922,5750,2023-07-29,91
1805,5182,2023-07-30,14
1033,5638,2023-07-31,20
1176,5450,2023-08-01,85
1697,5742,2023-08-02,36
1859,5477,2023-08-03,52
1486,5174,2023-08-04,50
2000,5043,2023-08-05,76
1440,5737,2023-08-06,65
1443,5700,2023-08-07,36
1233,5473,2023-08-08,36
1906,5668,2023-08-09,49
1224,5578,2023-08-10,56
1706,5233,2023-08-11,36
1418,5799,2023-08-12,78
1461,5524,2023-08-13,27
1187,5608,2023-08-14,83
1191,5401,2023-08-15,28
1501,5475,2023-08-16,63
1964,5421,2023-08-17,6
1603,5461,2023-08-18,91
1974,5076,2023-08-19,27
1361,5591,2023-08-20,84
1673,5347,2023-08-21,43
1636,5193,2023-08-22,83
1866,5484,2023-08-23,21
1433,5261,2023-08-24,47
1710,5088,2023-08-25,44
1460,5736,2023-08-26,40
1820,5633,2023-08-27,60
1791,5388,2023-08-28,30
1009,5655,2023-08-29,41
1116,5795,2023-08-30,23
1808,5196,2023-08-31,56
1620,5747,2023-09-01,95
1078,5363,2023-09-02,36
1406,5648,2023-09-03,68
1125,5787,2023-09-04,80
1527,5074,2023-09-05,24
1502,5252,2023-09-06,54
1271,5005,2023-09-07,32
1174,5763,2023-09-08,28
1521,5730,2023-09-09,30
1206,5100,2023-09-10,97
1483,5359,2023-09-11,12
1179,5020,2023-09-12,64
1641,5116,2023-09-13,43
1980,5267,2023-09-14,49
1059,5064,2023-09-15,22
1493,5571,2023-09-16,58
1234,5500,2023-09-17,47
1914,5626,2023-09-18,77
1494,5617,2023-09-19,61
1734,5120,2023-09-20,63
1595,5612,2023-09-21,65
1543,5447,2023-09-22,22
1242,5389,2023-09-23,16
1819,5276,2023-09-24,88
1368,5107,2023-09-25,49
1459,5376,2023-09-26,85
1288,5401,2023-09-27,79
1716,5171,2023-09-28,72
1721,5232,2023-09-29,71
1730,5210,2023-09-30,61
1530,5401,2023-10-01,52
1042,5558,2023-10-02,57
1890,5650,2023-10-03,89
1041,5385,2023-10-04,53
1968,5468,2023-10-05,20
1429,5087,2023-10-06,63
1121,5292,2023-10-07,12
1318,5143,2023-10-08,40
1095,5061,2023-10-09,27
1665,5159,2023-10-10,10
1809,5700,2023-10-11,87
1246,5133,2023-10-12,91
1953,5689,2023-10-13,57
1524,5308,2023-10-14,41
1102,5230,2023-10-15,22
1525,5725,2023-10-16,65
1397,5208,2023-10-17,43
1296,5759,2023-10-18,56
1351,5054,2023-10-19,98
1892,5630,2023-10-20,7
1225,5327,2023-10-21,43
1178,5327,2023-10-22,84
1947,5262,2023-10-23,36
1556,5331,2023-10-24,7
1822,5089,2023-10-25,99
1345,5300,2023-10-26,36
1293,5257,2023-10-27,75
1799,5269,2023-10-28,67
1934,5223,2023-10-29,75
1547,5403,2023-10-30,34
1600,5777,2023-10-31,36
1491,5436,2023-11-01,64
1956,5685,2023-11-02,26
1356,5074,2023-11-03,11
1868,5196,2023-11-04,11
1508,5068,2023-11-05,53
1469,5313,2023-11-06,13
1275,5140,2023-11-07,19
1393,5412,2023-11-08,14
1801,5605,2023-11-09,40
1736,5239,2023-11-10,10
1907,5019,2023-11-11,26
1728,5298,2023-11-12,78
1301,5633,2023-11-13,68
1773,5658,2023-11-14,40
1771,5572,2023-11-15,66
1369,5202,2023-11-16,27
1388,5410,2023-11-17,53
1290,5204,2023-11-18,5
1110,5618,2023-11-19,17
1679,5407,2023-11-20,37
1523,5137,2023-11-21,97
1391,5663,2023-11-22,73
1851,5594,2023-11-23,24
1128,5064,2023-11-24,27
1458,5329,2023-11-25,36
1837,5224,2023-11-26,86
1885,5788,2023-11-27,66
1916,5191,2023-11-28,26
1069,5694,2023-11-29,97
1350,5519,2023-11-30,36
1784,5112,2023-12-01,67
1430,5148,2023-12-02,16
1099,5726,2023-12-03,39
1376,5599,2023-12-04,15
1316,5317,2023-12-05,81
1419,5405,2023-12-06,81
1372,5666,2023-12-07,20
1857,5659,2023-12-08,29
1505,5019,2023-12-09,83
1449,5365,2023-12-10,14
1190,5538,2023-12-11,41
1512,5166,2023-12-12,65
1629,5114,2023-12-13,96
1722,5588,2023-12-14,17
1319,5745,2023-12-15,99
1985,5238,2023-12-16,79
1532,5087,2023-12-17,73
1839,5252,2023-12-18,93
1961,5118,2023-12-19,71
1785,5323,2023-12-20,51
1107,5381,2023-12-21,97
1940,5592,2023-12-22,13
1340,5137,2023-12-23,36
1163,5503,2023-12-24,71
1018,5057,2023-12-25,63
1013,5377,2023-12-26,35
1184,5760,2023-12-27,33
1308,5019,2023-12-28,33
1559,5314,2023-12-29,94
1644,5220,2023-12-30,71
1070,5099,2023-12-31,76
1904,5648,2024-01-01,85
1804,5367,2024-01-02,46
1482,5668,2024-01-03,71
1199,5118,2024-01-04,63
1008,5038,2024-01-05,88
1937,5169,2024-01-06,24
1545,5596,2024-01-07,49
1180,5796,2024-01-08,61
1539,5428,2024-01-09,21
1836,5226,2024-01-10,69
1901,5702,2024-01-11,36
1731,5448,2024-01-12,67
1054,5358,2024-01-13,21
1704,5252,2024-01-14,89
1457,5742,2024-01-15,42
1451,5042,2024-01-16,80
1654,5069,2024-01-17,90
1678,5485,2024-01-18,34
1795,5110,2024-01-19,62
1847,5151,2024-01-20,35
1384,5009,2024-01-21,7
1786,5109,2024-01-22,88
1858,5551,2024-01-23,93
1757,5378,2024-01-24,57
1551,5551,2024-01-25,87
1989,5438,2024-01-26,14
1758,5073,2024-01-27,70
1811,5573,2024-01-28,94
1306,5518,2024-01-29,89
1378,5497,2024-01-30,29
1479,5346,2024-01-31,61
1869,5794,2024-02-01,39
1970,5198,2024-02-02,91
1085,5084,2024-02-03,68
1220,5384,2024-02-04,16
1161,5367,2024-02-05,43
1362,5598,2024-02-06,35
1093,5323,2024-02-07,79
1028,5039,2024-02-08,43
1634,5720,2024-02-09,39
1955,5162,2024-02-10,26
1826,5500,2024-02-11,19
1828,5069,2024-02-12,65
1540,5146,2024-02-13,11
1118,5343,2024-02-14,33
1515,5548,2024-02-15,86
1289,5367,2024-02-16,94
1582,5272,2024-02-17,30
1607,5244,2024-02-18,96
1310,5523,2024-02-19,12
1628,5333,2024-02-20,39
1827,5370,2024-02-21,52
1535,5785,2024-02-22,96
1322,5231,2024-02-23,55
1905,5800,2024-02-24,34
1283,5364,2024-02-25,71
1043,5182,2024-02-26,66
1999,5420,2024-02-27,99
1245,5769,2024-02-28,44
1280,5090,2024-02-29,47
1445,5587,2024-03-01,57
1353,5709,2024-03-02,16
1887,5609,2024-03-03,5
1188,5175,2024-03-04,16
1879,5765,2024-03-05,97
1518,5059,2024-03-06,31
1844,5276,2024-03-07,91
1764,5626,2024-03-08,44
1417,5290,2024-03-09,83
1577,5386,2024-03-10,56
1023,5777,2024-03-11,88
1278,5267,2024-03-12,22
1913,5106,2024-03-13,26
1156,5280,2024-03-14,51
1309,5138,2024-03-15,86
1675,5701,2024-03-16,38
1676,5550,2024-03-17,92
1408,5378,2024-03-18,93
1056,5714,2024-03-19,32
1841,5137,2024-03-20,5
1750,5698,2024-03-21,75
1781,5367,2024-03-22,84
1616,5502,2024-03-23,9
1759,5057,2024-03-24,23
1918,5486,2024-03-25,32
1931,5461,2024-03-26,6
1544,5179,2024-03-27,90
1608,5260,2024-03-28,14
1329,5109,2024-03-29,56
1123,5049,2024-03-30,18
1221,5624,2024-03-31,19
1448,5449,2024-04-01,74
1856,5020,2024-04-02,33
1724,5679,2024-04-03,70
1141,5562,2024-04-04,63
1816,5506,2024-04-05,76
1466,5486,2024-04-06,9
1668,5584,2024-04-07,63
1038,5363,2024-04-08,29
1871,5495,2024-04-09,61
1489,5693,2024-04-10,59
1670,5628,2024-04-11,34
1588,5310,2024-04-12,88
1168,5438,2024-04-13,79
1727,5318,2024-04-14,93
1651,5792,2024-04-15,48
1097,5535,2024-04-16,44
1578,5542,2024-04-17,91
1071,5129,2024-04-18,16
1921,5122,2024-04-19,93
1835,5509,2024-04-20,87
1212,5272,2024-04-21,94
1075,5401,2024-04-22,92
1091,5584,2024-04-23,50
1314,5137,2024-04-24,84
1285,5255,2024-04-25,55
1265,5045,2024-04-26,12
1077,5631,2024-04-27,85
1689,5432,2024-04-28,74
1428,5207,2024-04-29,41
1367,5037,2024-04-30,50
1454,5318,2024-05-01,47
1623,5717,2024-05-02,11
1802,5675,2024-05-03,24
1850,5059,2024-05-04,80
1083,5284,2024-05-05,21
1235,5216,2024-05-06,92
1002,5513,2024-05-07,56
1663,5201,2024-05-08,56
1019,5502,2024-05-09,93
1511,5221,2024-05-10,78
1792,5729,2024-05-11,82
1984,5045,2024-05-12,63
1683,5342,2024-05-13,57
1702,5461,2024-05-14,90
1777,5610,2024-05-15,50
1797,5601,2024-05-16,51
1915,5148,2024-05-17,65
1893,5722,2024-05-18,46
1966,5416,2024-05-19,74
1364,5068,2024-05-20,87
1349,5668,2024-05-21,85
1051,5161,2024-05-22,55
1622,5306,2024-05-23,93
1767,5430,2024-05-24,28
1325,5024,2024-05-25,30
1930,5497,2024-05-26,41
1969,5730,2024-05-27,22
1080,5531,2024-05-28,25
1047,5294,2024-05-29,31
1655,5171,2024-05-30,99
1803,5040,2024-05-31,25
1181,5353,2024-06-01,93
1173,5057,2024-06-02,91
1762,5643,2024-06-03,69
1565,5780,2024-06-04,74
1088,5577,2024-06-05,76
1373,5107,2024-06-06,86
1618,5193,2024-06-07,30
1295,5332,2024-06-08,52
1286,5777,2024-06-09,83
1952,5753,2024-06-10,36
1504,5289,2024-06-11,30
1073,5451,2024-06-12,81
1589,5158,2024-06-13,77
1830,5708,2024-06-14,42
1201,5503,2024-06-15,71
1531,5103,2024-06-16,48
1707,5262,2024-06-17,51
1770,5481,2024-06-18,58
1639,5766,2024-06-19,23
1877,5534,2024-06-20,15
1134,5486,2024-06-21,73
1780,5680,2024-06-22,76
1699,5577,2024-06-23,12
1682,5478,2024-06-24,9
1317,5471,2024-06-25,22
1358,5060,2024-06-26,38
1226,5549,2024-06-27,13
1040,5738,2024-06-28,90
1928,5674,2024-06-29,75
1666,5029,2024-06-30,41
1534,5449,2024-07-01,98
1336,5506,2024-07-02,57
1465,5632,2024-07-03,22
1746,5434,2024-07-04,54
1307,5717,2024-07-05,94
1006,5590,2024-07-06,89
1113,5513,2024-07-07,91
1840,5625,2024-07-08,10
1198,5534,2024-07-09,89
1973,5074,2024-07-10,79
1977,5425,2024-07-11,38
1998,5508,2024-07-12,24
1420,5579,2024-07-13,57
1669,5460,2024-07-14,67
1592,5168,2024-07-15,14
1133,5052,2024-07-16,59
1215,5444,2024-07-17,80
1196,5202,2024-07-18,48
1084,5282,2024-07-19,87
1437,5052,2024-07-20,7
1745,5333,2024-07-21,40
1375,5700,2024-07-22,56
1717,5075,2024-07-23,62
1986,5517,2024-07-24,68
1036,5487,2024-07-25,94
1604,5618,2024-07-26,26
1742,5680,2024-07-27,57
1806,5302,2024-07-28,83
1948,5057,2024-07-29,47
1193,5705,2024-07-30,23
1824,5413,2024-07-31,29
1032,5138,2024-08-01,23
1624,5083,2024-08-02,7
1237,5272,2024-08-03,16
1640,5162,2024-08-04,19
1396,5077,2024-08-05,29
1798,5628,2024-08-06,33
1571,5008,2024-08-07,77
1130,5101,2024-08-08,69
1568,5069,2024-08-09,73
1105,5157,2024-08-10,22
1455,5644,2024-08-11,84
1510,5147,2024-08-12,95
1270,5145,2024-08-13,38
1748,5150,2024-08-14,66
1990,5311,2024-08-15,6
1175,5084,2024-08-16,23
1627,5305,2024-08-17,37
1049,5617,2024-08-18,64
1231,5444,2024-08-19,61
1760,5578,2024-08-20,8
1169,5506,2024-08-21,91
1239,5484,2024-08-22,28
1439,5724,2024-08-23,81
1158,5078,2024-08-24,55
1881,5487,2024-08-25,47
1004,5464,2024-08-26,61
1119,5771,2024-08-27,69
1667,5030,2024-08-28,33
1254,5359,2024-08-29,40
1863,5365,2024-08-30,7
1304,5775,2024-08-31,43
1208,5399,2024-09-01,74
1357,5447,2024-09-02,9
1597,5450,2024-09-03,21
1971,5016,2024-09-04,70
1637,5140,2024-09-05,48
1434,5060,2024-09-06,20
1354,5430,2024-09-07,87
1026,5792,2024-09-08,92
1243,5397,2024-09-09,6
1897,5658,2024-09-10,90
1823,5027,2024-09-11,70
1572,5508,2024-09-12,74
1151,5116,2024-09-13,13
1700,5759,2024-09-14,30
1030,5576,2024-09-15,56
1705,5267,2024-09-16,6
1472,5446,2024-09-17,20
1383,5076,2024-09-18,42
1256,5075,2024-09-19,44
1480,5051,2024-09-20,64
1236,5711,2024-09-21,83
1209,5254,2024-09-22,43
1359,5020,2024-09-23,88
1929,5045,2024-09-24,37
1045,5185,2024-09-25,99
1564,5220,2024-09-26,95
1414,5631,2024-09-27,65
1063,5143,2024-09-28,38
1680,5421,2024-09-29,8
1094,5087,2024-09-30,10
1992,5446,2024-10-01,19
1701,5550,2024-10-02,72
1401,5227,2024-10-03,29
1853,5156,2024-10-04,98
1807,5105,2024-10-05,40
1496,5616,2024-10-06,31
1845,5445,2024-10-07,92
1346,5379,2024-10-08,60
1788,5742,2024-10-09,87
1452,5670,2024-10-10,6
1214,5355,2024-10-11,25
1941,5092,2024-10-12,45
1878,5682,2024-10-13,47
1323,5510,2024-10-14,23
1596,5041,2024-10-15,24
1662,5259,2024-10-16,53
1363,5456,2024-10-17,77
1610,5337,2024-10-18,58
1674,5230,2024-10-19,82
1423,5619,2024-10-20,22
1910,5471,2024-10-21,79
1238,5201,2024-10-22,85
1733,5501,2024-10-23,88
1072,5513,2024-10-24,93
1258,5800,2024-10-25,12
1581,5482,2024-10-26,79
1946,5373,2024-10-27,24
1747,5034,2024-10-28,67
1337,5383,2024-10-29,67
1227,5112,2024-10-30,70
1815,5649,2024-10-31,90
1522,5680,2024-11-01,80
1590,5472,2024-11-02,95
1658,5531,2024-11-03,54
1740,5044,2024-11-04,12
1575,5169,2024-11-05,10
1688,5142,2024-11-06,72
1945,5592,2024-11-07,36
1022,5556,2024-11-08,11
1436,5183,2024-11-09,94
1321,5747,2024-11-10,67
1122,5392,2024-11-11,75
1732,5168,2024-11-12,95
1403,5066,2024-11-13,77
1546,5130,2024-11-14,87
1993,5100,2024-11-15,12
1259,5195,2024-11-16,94
1703,5560,2024-11-17,41
1192,5570,2024-11-18,82
1474,5654,2024-11-19,54
1407,5005,2024-11-20,26
1752,5712,2024-11-21,91
1267,5246,2024-11-22,82
1749,5232,2024-11-23,25
1229,5039,2024-11-24,76
1424,5447,2024-11-25,23
1926,5213,2024-11-26,35
1249,5447,2024-11-27,23
1189,5458,2024-11-28,70
1067,5172,2024-11-29,22
1165,5581,2024-11-30,73
1864,5235,2024-12-01,81
1477,5681,2024-12-02,94
1211,5374,2024-12-03,60
1693,5709,2024-12-04,11
1484,5705,2024-12-05,99
1526,5531,2024-12-06,65
1951,5260,2024-12-07,49
1796,5751,2024-12-08,78
1677,5465,2024-12-09,30
1268,5136,2024-12-10,21
1223,5369,2024-12-11,48
1735,5476,2024-12-12,73
1438,5006,2024-12-13,71
1090,5004,2024-12-14,62
1034,5612,2024-12-15,37
1230,5413,2024-12-16,48
1899,5622,2024-12-17,57
1186,5160,2024-12-18,12
1057,5690,2024-12-19,46
1507,5080,2024-12-20,83
1315,5385,2024-12-21,48
1171,5794,2024-12-22,51
1468,5297,2024-12-23,71
1390,5363,2024-12-24,31
1552,5744,2024-12-25,85
1975,5646,2024-12-26,29
1405,5635,2024-12-27,47
1870,5551,2024-12-28,82
1129,5769,2024-12-29,25
1542,5282,2024-12-30,46
1657,5781,2024-12-31,46
1112,5364,2025-01-01,12
1413,5154,2025-01-02,42
1035,5152,2025-01-03,77
1044,5656,2025-01-04,62
1909,5354,2025-01-05,97
1548,5703,2025-01-06,48
1065,5064,2025-01-07,53
1626,5707,2025-01-08,7
1103,5440,2025-01-09,8
1412,5209,2025-01-10,21
1014,5490,2025-01-11,28
1751,5471,2025-01-12,15
1834,5482,2025-01-13,61
1007,5798,2025-01-14,71
1339,5731,2025-01-15,11
1061,5111,2025-01-16,49
1884,5474,2025-01-17,63
1217,5307,2025-01-18,10
1170,5287,2025-01-19,86
1302,5313,2025-01-20,98
1549,5574,2025-01-21,32
1098,5477,2025-01-22,83
1741,5293,2025-01-23,83
1962,5510,2025-01-24,53
1997,5694,2025-01-25,65
1810,5771,2025-01-26,26
1096,5104,2025-01-27,15
1431,5487,2025-01-28,19
1646,5589,2025-01-29,50
1136,5009,2025-01-30,50
1862,5733,2025-01-31,90
1854,5776,2025-02-01,59
1287,5168,2025-02-02,19
1074,5706,2025-02-03,84
1352,5200,2025-02-04,12
1435,5653,2025-02-05,73
1671,5470,2025-02-06,58
1614,5072,2025-02-07,78
1218,5625,2025-02-08,72
1838,5151,2025-02-09,85
1334,5252,2025-02-10,83
1520,5249,2025-02-11,48
1602,5160,2025-02-12,55
1064,5777,2025-02-13,52
1385,5561,2025-02-14,41
1409,5528,2025-02-15,37
1027,5116,2025-02-16,82
1010,5751,2025-02-17,51
1939,5243,2025-02-18,40
1656,5603,2025-02-19,45
1576,5515,2025-02-20,10
1029,5349,2025-02-21,15
1536,5306,2025-02-22,13
1331,5760,2025-02-23,19
1829,5393,2025-02-24,58
1147,5497,2025-02-25,96
1584,5164,2025-02-26,22
1335,5602,2025-02-27,52
1001,5355,2025-02-28,98
1132,5140,2025-03-01,99
1965,5540,2025-03-02,28
1213,5398,2025-03-03,94
1957,5234,2025-03-04,33
1274,5259,2025-03-05,85
1875,5727,2025-03-06,8
1347,5626,2025-03-07,16
1681,5639,2025-03-08,57
1738,5516,2025-03-09,22
1374,5077,2025-03-10,82
1470,5361,2025-03-11,65
1392,5227,2025-03-12,64
1632,5326,2025-03-13,29
1399,5322,2025-03-14,49
